Jurisdiction,Timestep,Date,Mean,Lower,Upper
United States - Alabama,19,2020-03-01 00:00:00,113.64517894932304,54.698722289442514,230.49352653243477
United States - Alabama,20,2020-03-02 00:00:00,195.8348753021387,54.698722289442514,436.3072145657812
United States - Alabama,21,2020-03-03 00:00:00,293.3385550554648,54.698722289442514,879.2351141823522
United States - Alabama,22,2020-03-04 00:00:00,442.7763448659149,54.698722289442514,1454.77542787673
United States - Alabama,23,2020-03-05 00:00:00,665.3779225884713,54.698722289442514,2337.1451676993747
United States - Alabama,24,2020-03-06 00:00:00,970.9277894549807,54.698722289442514,3488.2257950881303
United States - Alabama,25,2020-03-07 00:00:00,1433.2913669214413,54.698722289442514,5394.2009451573485
United States - Alabama,26,2020-03-08 00:00:00,2160.6206229281315,54.698722289442514,7888.208971166318
United States - Alabama,27,2020-03-09 00:00:00,2955.2099340306936,54.698722289442514,10203.287539019551
United States - Alabama,28,2020-03-10 00:00:00,3542.396098752395,299.90277799180313,11741.962538060861
United States - Alabama,29,2020-03-11 00:00:00,4156.981194316716,584.3751790361213,13020.016602936503
United States - Alabama,30,2020-03-12 00:00:00,4732.318148884731,658.7758364624226,14300.050657297621
United States - Alabama,31,2020-03-13 00:00:00,5127.871485820998,719.878424204542,15382.455989438176
United States - Alabama,32,2020-03-14 00:00:00,5655.554558232815,781.2959164521537,17570.592842543447
United States - Alabama,33,2020-03-15 00:00:00,6569.885929804616,875.3484233868755,20448.294411015337
United States - Alabama,34,2020-03-16 00:00:00,7358.595663221354,997.5535988711143,23119.53891238445
United States - Alabama,35,2020-03-17 00:00:00,7900.424892601738,1120.3885833663378,25010.124480128045
United States - Alabama,36,2020-03-18 00:00:00,8755.095600691226,1308.4935972357814,27248.969270908387
United States - Alabama,37,2020-03-19 00:00:00,9768.804000602606,1382.8942546620829,29633.593312578072
United States - Alabama,38,2020-03-20 00:00:00,10464.653421752944,1443.9968424042022,31776.660406627278
United States - Alabama,39,2020-03-21 00:00:00,11127.557886014978,1505.414334651814,34003.03268647335
United States - Alabama,40,2020-03-22 00:00:00,12155.969465359121,1599.4668415865358,36880.73425494524
United States - Alabama,41,2020-03-23 00:00:00,13241.968083878462,1843.8771925550134,39795.888765950025
United States - Alabama,42,2020-03-24 00:00:00,14472.824963166317,2089.5471615454603,42841.44532276762
United States - Alabama,43,2020-03-25 00:00:00,15897.336963052045,2394.177108940807,46041.530458670415
United States - Alabama,44,2020-03-26 00:00:00,16902.227358735323,2666.5329544928013,48727.93435458289
United States - Alabama,45,2020-03-27 00:00:00,17495.053945624786,2910.871885748985,50491.090480521045
United States - Alabama,46,2020-03-28 00:00:00,18316.679554868762,3156.0759414513454,53408.6062846614
United States - Alabama,47,2020-03-29 00:00:00,19757.496965083268,3478.4957320486665,57338.90686693087
United States - Alabama,48,2020-03-30 00:00:00,21316.740702429117,3894.503235497048,60937.932003886555
United States - Alabama,49,2020-03-31 00:00:00,22374.31227086312,4257.664712495012,63523.300409876516
United States - Alabama,50,2020-04-01 00:00:00,23033.470935562942,4257.664712495012,65170.98287133025
United States - Alabama,51,2020-04-02 00:00:00,23524.278652303838,4257.664712495012,66775.2427621779
United States - Alabama,52,2020-04-03 00:00:00,24201.320803098035,4257.664712495012,68760.34395606873
United States - Alabama,53,2020-04-04 00:00:00,25268.65403773966,4257.664712495012,71179.72878334447
United States - Alabama,54,2020-04-05 00:00:00,26600.789633913955,4807.689907726723,74022.24823637423
United States - Alabama,55,2020-04-06 00:00:00,28159.97019620945,5526.524232525014,77289.60349503795
United States - Alabama,56,2020-04-07 00:00:00,29864.858285130904,6351.938858377029,80764.68311404684
United States - Alabama,57,2020-04-08 00:00:00,31405.36639760737,6351.938858377029,84218.3978857598
United States - Alabama,58,2020-04-09 00:00:00,32224.43042928181,6351.938858377029,87254.40960232951
United States - Alabama,59,2020-04-10 00:00:00,32548.66349028308,6351.938858377029,89244.76790590814
United States - Alabama,60,2020-04-11 00:00:00,33526.30767141977,6351.938858377029,92106.85608792832
United States - Alabama,61,2020-04-12 00:00:00,34872.759866196226,6540.043872246472,94936.62580307403
United States - Alabama,62,2020-04-13 00:00:00,36125.43211445402,7157.381408624837,97537.64356056786
United States - Alabama,63,2020-04-14 00:00:00,37424.031593764514,7797.9388559330455,100138.5924670152
United States - Alabama,64,2020-04-15 00:00:00,38777.576534853535,8466.090112217142,102851.58454395748
United States - Alabama,65,2020-04-16 00:00:00,40027.438287729456,9082.2205636153285,105395.05093176782
United States - Alabama,66,2020-04-17 00:00:00,41267.009119828974,9694.046763853637,107912.90150037644
United States - Alabama,67,2020-04-18 00:00:00,42400.94513601335,10253.045208195193,110226.52215479044
United States - Alabama,68,2020-04-19 00:00:00,43358.007637042465,10723.531372696267,112228.4978746358
United States - Alabama,69,2020-04-20 00:00:00,44215.971828320275,11144.714720910899,114020.68412866312
United States - Alabama,70,2020-04-21 00:00:00,45090.87761070788,11574.208158558755,115848.23082159457
United States - Alabama,71,2020-04-22 00:00:00,45982.587292462704,12012.175646505533,117711.83562680901
United States - Alabama,72,2020-04-23 00:00:00,46891.520188205955,12458.784380620069,119593.95972230523
United States - Alabama,73,2020-04-24 00:00:00,47817.387616009495,12914.204855602058,121513.2187606341
United States - Alabama,74,2020-04-25 00:00:00,48760.087561963235,13376.399803587798,123430.34724863744
United States - Alabama,75,2020-04-26 00:00:00,49721.75185062098,13847.714013694487,125385.3013279369
United States - Alabama,76,2020-04-27 00:00:00,50701.35753649797,14328.327412037701,127377.95248454627
United States - Alabama,77,2020-04-28 00:00:00,51699.891704681926,14818.423474735926,129377.48120812526
United States - Alabama,78,2020-04-29 00:00:00,52717.38232789892,15318.189297953319,131416.46130742383
United States - Alabama,79,2020-04-30 00:00:00,53753.759171394195,15827.815669324407,133495.67117138326
